% Model:              2d_units.mph
% Version:            COMSOL 6.0.0.318
% Date:               Aug 11 2024, 17:51
% Dimension:          1
% Nodes:              101
% Expressions:        1
% Description:        线结果图
% x                       平均值 1
16000                     -1.5218423691915208
16100                     -1.5840613339160814
16200                     -1.6468728663123462
16300                     -1.7102521394215138
16400                     -1.7741649645357724
16500                     -1.8385681521875952
16600                     -1.9034103533387727
16700                     -1.9686334357580637
16800                     -2.034174420957095
16900                     -2.099967966687461
17000                     -2.165949331156444
17100                     -2.2320577024372956
17200                     -2.298239726704486
17300                     -2.3644530300789404
17400                     -2.4306695091813264
17500                     -2.496878171265983
17600                     -2.5630873384285726
17700                     -2.6293260889646692
17800                     -2.695644884111012
17900                     -1.2284675017669069
18000                     -0.4188570790332458
18100                     0.033947419552022545
18200                     0.3898879622496076
18300                     0.3217091337370739
18400                     0.5174299160961796
18500                     0.702706982922567
18600                     0.6316645674953496
18700                     0.5593082209722645
18800                     0.8937518442013117
18900                     0.8181897278419907
19000                     0.7407284762785568
19100                     0.9163592717209561
19200                     0.8345024545732879
19300                     0.9629832102143291
19400                     0.8759564135914818
19500                     1.1266026619627074
19600                     1.4033345994117956
19700                     2.130805264950547
19800                     2.031545673096272
19900                     1.9290151252097232
20000                     1.8232406250798794
